,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity_normalized,diameter,contrast_normalized
127,4.29291663347563,0.210632245964574,31.831916029843697,33.859741589376505,33.859741589376505,23.264384437776,14,14.0,0.717467987700575,4.8508123942602,0.270253204331689
69,4.128955882019009,0.107400986109811,35.113260777429,14.400592836774099,35.113260777429,14.400592836774099,8,8.0,0.507824896318888,5.358719881985469,0.174091070817706
206,3.0369393941703904,0.39182844041165904,27.2706470836295,14.358143606577698,27.2706470836295,14.358143606577698,11,11.0,0.506247530836267,4.32332468486807,0.307311916646651
65,3.99488511810727,0.114247815665838,32.3542451062402,53.6701456616469,53.6701456616469,32.3542451062402,8,8.0,0.587754506853581,5.000652913618031,0.11668602091342
386,2.37323526577817,0.138668721155608,21.9192377419809,22.113044788060797,24.5490082806003,20.9069308101424,9,9.0,0.753313670012879,5.37577514699293,0.471728449286112
280,2.67517302632046,0.151269832746668,30.1706206899398,30.403060305139398,30.403060305139398,18.8662457944655,12,12.0,0.742322290404935,5.84979049875209,0.389436278662117
303,4.61131458064271,0.0687673133779048,41.5879315922858,30.2048408631608,42.3248983834469,28.4976308505758,14,14.0,0.445340240464386,5.067656551505009,0.31486910061325
84,3.30711650973083,0.0778409877204942,29.0968047622459,37.1565698236888,37.46351010918351,29.0968047622459,7,7.0,0.613352955008788,3.96693656209579,0.114438379680278
165,4.87741144763869,0.0752157334023436,30.518041094065598,33.7001168403238,33.7001168403238,23.395337266448998,11,11.0,0.901871379634932,5.1031718967318,0.5095664990196
276,2.7684266806417,0.0920618159298037,29.889505786917,33.9816758137574,34.7414333524682,29.889505786917,5,5.0,0.66574296970386,3.9980501966271698,0.181795826554576
85,4.61998091043512,0.19233984864161,25.104384885763302,34.684943337247894,34.684943337247894,25.104384885763302,11,11.0,0.654849409054735,4.70230982839729,0.101459514097468
40,6.93899612898198,0.114020797952668,24.1087990900035,43.44056447227249,43.44056447227249,24.1087990900035,12,12.0,0.54879352715025,3.9330965277952497,0.102434396013692
244,3.82778875263938,0.0839663560718196,32.105840740964,47.690721023421,47.690721023421,26.992477342396104,12,12.0,0.71560925937826,5.679281517143611,0.317939803718565
230,4.13529249875397,0.10017228255904,28.7133774067786,4.595329286770769,28.7133774067786,4.595329286770769,12,12.0,0.720589608460772,6.12440206310632,0.372411527531061
170,6.1460856755835795,0.0927755280387157,37.49405896505649,40.337450874252305,40.337450874252305,32.990443764468104,18,18.0,0.795509705738422,4.87673914960599,0.309051184724081
20,3.35410196624968,0.0,15.0,7.0,15.0,7.0,3,6.0,0.0231850244435329,8.50631169144248,0.925114169449751
383,4.68614799653779,0.0645112542692195,36.9121126932708,36.374932818955294,36.9121126932708,33.0439212088155,12,12.0,0.778226225018907,4.62399852555491,0.403545919421377
242,6.465743730612191,0.122917730045095,22.0938935401874,43.4844781190515,43.4844781190515,21.299371844392,14,14.0,0.686888196700706,5.720307408792981,0.321505230416691
115,4.32110811896918,0.145119735699242,28.883772214630397,37.5236739697946,37.5236739697946,28.883772214630397,16,16.0,0.766715026470196,4.8504151473474,0.313861712778634
109,3.39312470333646,0.130474077649073,18.7447562467001,50.1971415880453,50.8225234856413,18.7447562467001,16,16.0,0.582564066441592,5.60360594912349,0.294506495865021
77,1.93246676399493,0.0785206636097637,33.2775024789959,29.6728981013416,33.2775024789959,29.6728981013416,6,6.0,0.577623663514629,5.9479782661842,0.179880436782152
50,4.59889852321316,0.0889621902033278,22.609774520622896,31.4903512133045,31.4903512133045,20.464150557676,12,12.0,0.778924023206115,5.0458503607145095,0.335484587948223
112,3.4452357980917205,0.179089680080554,26.795799085432503,35.9559226308348,35.9559226308348,26.795799085432503,11,11.0,0.507329764429264,4.606296597938161,0.275554060938341
393,1.6445946434911298,0.0485228239422829,34.5005919075069,24.0312832069318,36.1468901220571,24.0312832069318,7,7.0,0.367480603705474,6.06916815231331,0.22848858754448
145,4.29699146396792,0.224331737010519,29.2909381384143,36.2020912720371,36.2020912720371,29.2909381384143,13,13.0,0.466366751146265,5.89928613382817,0.374807391020329
359,3.91464572267995,0.258603544736338,15.629105965708,18.0369648357636,18.0369648357636,15.4058480409288,11,11.0,0.511364759791007,4.574706031561351,0.305912522713214
362,3.40660298860932,0.11667105368933,27.2589166998369,27.506593793350802,29.7427900143709,25.500863143362004,11,11.0,0.892212932784865,5.190321948835299,0.596752642921765
