,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity_normalized,diameter,contrast_normalized
3520,2.3844912553008903,0.0341205616857319,66.1914850607104,69.2962707359586,70.0620502654833,66.1914850607104,6,6.0,0.0841488180296681,9.787318128788199,0.393260151051469
1885,1.5090186346008603,0.0469696579933751,69.40077071250201,75.82804957570791,75.82804957570791,69.40077071250201,5,5.0,0.0742401977498965,8.21366958804408,0.359003209250764
255,1.83537275558292,0.0731521721180267,44.8808126270093,48.221668815402204,49.6078645828586,44.8808126270093,8,8.0,0.0609744228853417,9.82859450954383,0.486169316400828
556,3.61565180543832,0.23183050717575,9.245139772300499,15.033296378372901,15.033296378372901,8.64604383192111,6,6.0,0.115804753052423,10.1243279314861,0.283452724552527
3704,2.07469416389798,0.101380867832597,24.525201030517,26.7463659920018,27.8156036591268,19.546147772906398,6,6.0,0.108587362972095,8.55072693489927,0.486791035488879
2127,2.82217643167773,0.0798992158101953,34.2990098269659,48.1579152380572,48.1579152380572,32.4737748642059,9,9.0,0.0755178524910468,7.87016476843938,0.301750730320576
2968,1.99332947793331,0.0485712423574855,58.694122363316794,74.22382991492991,74.22382991492991,55.9732078766261,5,5.0,0.0670454611224263,8.55790139457547,0.396246830961027
3583,4.245694276536891,0.114399916718608,49.0044695491759,58.8441273377636,62.649820430708296,44.547883337610905,10,10.0,0.120876974414431,8.5250143405743,0.472171298316358
491,2.77765315762002,0.047250265712351,56.94927013509211,48.1857932738308,56.94927013509211,43.3955312689974,7,7.0,0.101921811003371,10.5163793036317,0.250995424496753
1415,2.5484319678001,0.0972207096034879,52.086466572421706,49.010203019371396,52.086466572421706,43.9317652729776,12,15.0,0.0237315155764498,10.008990735762499,0.350734717412137
3173,2.7704273871281,0.112316488366951,61.13100686231171,69.166950954976,69.166950954976,61.13100686231171,5,5.0,0.121333668024033,10.1264242955685,0.49204372118129797
3069,2.52087475454167,0.153711733824325,47.1173844601647,39.1464672462443,47.1173844601647,38.0500659104559,6,6.0,0.0382701391650026,8.4449103566616,0.39619355712915
1290,3.43466768595132,0.194057543857862,30.8970650242316,31.486666955578798,34.0537245472544,25.315586305011703,8,8.0,0.130259303499208,10.052717340698699,0.317962696371303
1048,3.2844536904531605,0.0485050332505131,74.05904711354191,76.35143000410142,77.8090295255074,63.9252068883329,6,8.0,0.0919744533192134,8.98348918235611,0.258266448802458
1752,4.88355040905683,0.147782471807996,85.2147366020577,100.658829735758,100.658829735758,79.9302326291526,13,13.0,0.120750176068495,6.96415763054827,0.658885532421653
102,2.11724111219965,0.0371494152827292,74.18270372531201,77.3033370300389,77.5047310469636,71.1932402829985,15,15.0,0.0492342012391275,8.59907366115579,0.438399387594924
557,3.18939642707684,0.0433608355966215,66.1765439472007,64.77653896280661,66.4560687646848,62.3698645180507,6,6.0,0.115748785698305,10.216704798377698,0.38047279017502095
189,2.66126068103365,0.0554145181763784,70.8744277492595,55.5834335745621,70.8744277492595,54.72856313572821,9,9.0,0.212744781455807,7.5798171343306695,0.767626175367683
3283,2.70401302493966,0.05297217839693889,94.19651487748091,86.70870652181931,95.5782565743837,81.98278310990109,11,11.0,0.0953477789841902,9.00471492648737,0.466567123931653
1113,1.80387843690099,0.0397074901824478,57.756829537947,59.4026636309453,62.195558731332,57.756829537947,8,8.0,0.0873078077072016,10.0213445433047,0.0958433008018888
3014,1.72240142436851,0.0376294688009434,67.47592163134941,66.4003012041361,67.47592163134941,56.72741841473129,6,6.0,0.0648820563745566,8.11204180365041,0.503763804378268
1352,2.2088793331989502,0.0550760363646783,48.9000542113936,46.8521498416542,48.9000542113936,40.6497236246285,7,7.0,0.119911649798117,7.701563343137639,0.387743246884551
2665,1.17260393995586,0.032368887460017,52.8015151297763,47.63402145525821,53.150729063673204,47.63402145525821,5,5.0,0.0617258537581928,8.45186057546782,0.61424700330726
2539,2.43470281097669,0.103110770511125,35.5105618091294,45.6070170039655,45.6070170039655,35.5105618091294,10,10.0,0.0861064882374977,7.66247426403229,0.616184200976972
1157,2.20422618128588,0.0671464253213701,48.2383303207374,46.8270417866092,49.06345581756829,42.6434572247394,8,8.0,0.143457822955297,8.73655629126787,0.457333568773737
2744,2.1172113828940002,0.102498998074373,30.0166620396073,33.734255586866,34.440455889204806,30.0166620396073,5,5.0,0.0917392349670454,7.90622568176143,0.639719407945256
1372,1.61399169280619,0.0418746547385777,67.3662684780032,66.9323629996678,71.7787005649967,66.3195937803479,7,7.0,0.105458166017411,8.329898297635209,0.200949921959516
618,5.700492900589629,0.343587823013271,7.639120784311451,25.7257381561511,25.7257381561511,7.639120784311451,6,6.0,0.111428332494926,9.90805487151875,0.260293456281029
3008,2.29673681557117,0.0279370642786985,86.3481325796916,73.7563556583431,86.3481325796916,72.780491891715,3,6.0,0.0741692169309437,7.080823958283241,0.581041900163086
554,3.9204389299607296,0.04195341302800489,53.600373133029606,55.1768277154691,55.1768277154691,51.612594572279605,5,5.0,0.0798534762393524,8.346417246506599,0.315743989427448
